ten_case,hang,thong_so,gia_vnd,link_hinh_anh,category
"Thùng máy Corsair 3500X | White, Mid Tower (CC-9011277-WW)",Corsair,"Thùng máy Corsair 3500X | White, Mid Tower (CC-9011277-WW)",1849000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Corsair 4000D Airflow TG White (CC-9011201-WW),Corsair,Thùng máy Corsair 4000D Airflow TG White (CC-9011201-WW),1849000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Corsair 6500X Mid Tower Dual Chamber - Đen (CC-9011257-WW),Corsair,Thùng máy Corsair 6500X Mid Tower Dual Chamber - Đen (CC-9011257-WW),4599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Corsair 6500X Mid Tower Dual Chamber - Trắng (CC-9011258-WW),Corsair,Thùng máy Corsair 6500X Mid Tower Dual Chamber - Trắng (CC-9011258-WW),4599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Corsair Frame 4000D Modular Mid Tower - Black (CC-9011290-WW),Corsair,Thùng máy Corsair Frame 4000D Modular Mid Tower - Black (CC-9011290-WW),1999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Cougar DuoFace Pro RGB (Kèm Sẵn 4 Fan ARGB) - Đen,Unknown,Thùng máy Cougar DuoFace Pro RGB (Kèm Sẵn 4 Fan ARGB) - Đen,1879000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Cougar FV 270 - Đen | Kèm sẵn 1 fan ARGB,Unknown,Thùng máy Cougar FV 270 - Đen | Kèm sẵn 1 fan ARGB,3599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Darkflash L280 F-ATX (View 3 Góc) - Đen,Unknown,Thùng máy Darkflash L280 F-ATX (View 3 Góc) - Đen,1299000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Deepcool CH160 WH Glass Mini-ITX | Trắng, không kèm fan",Deepcool,"Thùng máy Deepcool CH160 WH Glass Mini-ITX | Trắng, không kèm fan",1479000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Deepcool CH170 Digital - Black | Không kèm fan,Deepcool,Thùng máy Deepcool CH170 Digital - Black | Không kèm fan,1499000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Deepcool CH170 Digital - White | Không kèm fan,Deepcool,Thùng máy Deepcool CH170 Digital - White | Không kèm fan,1499000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Deepcool CH360 Digital - Đen | Kèm sẵn 3 fan ARGB,Deepcool,Thùng máy Deepcool CH360 Digital - Đen | Kèm sẵn 3 fan ARGB,1599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
